cve_id,category,version,verified,native_success,environment_ready,status,bundle_present,bundle_compose,bundle_readme,poc_materials_total,poc_materials_missing_count,poc_basename_collisions,hash_ok,hash_bad,service_complete,service_empty,service_protocol,service_port,cap_verified_count,cap_inferred_count,cap_unresolvable_refs,guide_present,guide_ready,guide_integrity_ok,reasons
CVE-2017-10271,weblogic,3,True,True,,template_candidate,True,True,True,0,0,0,4,0,True,False,http,7001,3,0,3,True,True,True,environment_ready missing (legacy)
CVE-2017-11610,supervisor,3,True,True,True,template_anchor,True,True,True,1,0,0,6,0,True,False,http,9001,3,0,3,True,True,True,
CVE-2017-12149,jboss,2,False,,,excluded,False,False,False,0,0,0,0,0,False,True,,,0,0,0,False,False,False,version<3; no source_bundle; not verified; native not success; required_service empty; no verified capability grants; environment_ready missing (legacy); guide not ready
CVE-2017-12615,tomcat,3,True,True,True,template_anchor,True,True,True,0,0,0,5,0,True,False,http,8080,3,0,3,True,True,True,
CVE-2017-12629-RCE,solr,2,False,,,excluded,False,False,False,0,0,0,0,0,False,True,,,0,0,0,False,False,False,version<3; no source_bundle; not verified; native not success; required_service empty; no verified capability grants; environment_ready missing (legacy); guide not ready
CVE-2017-12635,couchdb,2,False,,,excluded,False,False,False,0,0,0,0,0,False,True,,,0,0,0,False,False,False,version<3; no source_bundle; not verified; native not success; required_service empty; no verified capability grants; environment_ready missing (legacy); guide not ready
CVE-2017-12636,couchdb,3,True,True,,review_required,True,True,True,1,0,0,7,0,False,True,,,0,0,0,True,True,True,required_service empty; no verified capability grants; environment_ready missing (legacy)
CVE-2017-12794,django,2,False,,,excluded,False,False,False,0,0,0,0,0,False,True,,,0,0,0,False,False,False,version<3; no source_bundle; not verified; native not success; required_service empty; no verified capability grants; environment_ready missing (legacy); guide not ready
CVE-2017-14849,node,3,True,True,True,template_anchor,True,True,True,4,0,0,9,0,True,False,http,3000,1,0,1,True,True,True,
CVE-2017-15715,httpd,3,True,True,True,template_anchor,True,True,True,1,0,0,8,0,True,False,http,80,3,0,3,True,True,True,
CVE-2017-16082,node,2,False,,,excluded,False,False,False,0,0,0,0,0,False,True,,,0,0,0,False,False,False,version<3; no source_bundle; not verified; native not success; required_service empty; no verified capability grants; environment_ready missing (legacy); guide not ready
CVE-2017-17405,ruby,3,True,True,True,template_anchor,True,True,True,1,0,0,7,0,True,False,http,8080,3,0,3,True,True,True,
CVE-2017-17562,goahead,3,True,True,True,template_anchor,True,True,True,0,0,0,5,0,True,False,http,80,2,0,2,True,True,True,
CVE-2017-3066,coldfusion,2,False,,,excluded,True,True,True,0,0,0,6,0,False,True,,,0,0,0,False,False,False,version<3; not verified; native not success; required_service empty; no verified capability grants; environment_ready missing (legacy); guide not ready
CVE-2017-4971,spring,2,False,,,excluded,True,True,True,0,0,0,8,0,False,True,,,0,0,0,False,False,False,version<3; not verified; native not success; required_service empty; no verified capability grants; environment_ready missing (legacy); guide not ready
CVE-2017-5223,phpmailer,2,False,,,excluded,False,False,False,0,0,0,0,0,False,True,,,0,0,0,False,False,False,version<3; no source_bundle; not verified; native not success; required_service empty; no verified capability grants; environment_ready missing (legacy); guide not ready
CVE-2017-5645,log4j,2,False,,,excluded,True,True,True,0,0,0,5,0,False,True,,,0,0,0,False,False,False,version<3; not verified; native not success; required_service empty; no verified capability grants; environment_ready missing (legacy); guide not ready
